sensor_type,min_value,max_value,unit
bedroom_room_light,0.0,22699.0,Unknown
bedroom_room_humidity,138.0,1023.0,Unknown
bedroom_room_temperature,0.0,432.0,Unknown
hall_gas-pulse_gas,-115204.0,1260585.0,Unknown
hall_room_light,0.0,57297.0,Unknown
hall_room_humidity,101.0,1055.0,Unknown
hall_room_temperature,0.0,529.0,Unknown
kitchen_tempprobe_central-heating-return,45.0,733.0,Unknown
kitchen_tempprobe_central-heating-flow,12.0,804.0,Unknown
kitchen_tempprobe_hot-water-cold-pipe,50.0,519.0,Unknown
kitchen_tempprobe_hot-water-hot-pipe,13.0,713.0,Unknown
kitchen_room_light,0.0,27460.0,Unknown
kitchen_room_humidity,175.0,1020.0,Unknown
kitchen_room_temperature,29.0,343.0,Unknown
livingroom_electric-mains_electric-combined,1.0,3323.0,Unknown
livingroom_room_humidity,149.0,967.0,Unknown
livingroom_room_temperature,0.0,357.0,Unknown
livingroom_room_light,0.0,13679.0,Unknown
bathroom_room_light,0.0,65340.0,Unknown
bathroom_room_humidity,10.0,1100.0,Unknown
bathroom_room_temperature,0.0,600.0,Unknown
hall_c_electric-mains_electric-combined,0.0,11649.0,Unknown
outside_gas-pulse_gas,112.0,3649578.0,Unknown
bathroom_tempprobe_bath,65.0,521.0,Unknown
bathroom_tempprobe_sink,38.0,510.0,Unknown
bedroom_tempprobe_radiator-input,35.0,735.0,Unknown
bedroom_tempprobe_radiator-output,20.0,681.0,Unknown
hall_tempprobe_radiator-input,50.0,763.0,Unknown
hall_tempprobe_radiator-output,40.0,680.0,Unknown
kitchen_gas-pulse_gas,112.0,143751.0,Unknown
kitchen_tempprobe_sink,40.0,649.0,Unknown
kitchen_heatcook_light,0.0,7664.0,Unknown
kitchen_heatcook_humidity,262.0,1037.0,Unknown
kitchen_heatcook_temperature,63.0,340.0,Unknown
kitchen_tempprobe_oven,93.0,463.0,Unknown
livingroom_tempprobe_radiator-input,50.0,714.0,Unknown
livingroom_tempprobe_radiator-output,48.0,681.0,Unknown
study_room_light,0.0,12930.0,Unknown
study_room_humidity,189.0,897.0,Unknown
study_room_temperature,46.0,319.0,Unknown
study_tempprobe_radiator-input,95.0,742.0,Unknown
study_tempprobe_radiator-output,88.0,725.0,Unknown
bathroom_tempprobe_radiator-input,35.0,739.0,Unknown
kitchen_c_electric-mains_electric-combined,0.0,9371.0,Unknown
hall_tempprobe_central-heating-return,47.0,748.0,Unknown
hall_tempprobe_central-heating-flow,45.0,754.0,Unknown
hall_tempprobe_hot-water-cold-pipe,45.0,478.0,Unknown
hall_tempprobe_hot-water-hot-pipe,49.0,703.0,Unknown
livingroom_c_electric-mains_electric-combined,0.0,9355.0,Unknown
kitchenliving_room_light,0.0,1573.0,Unknown
kitchenliving_room_humidity,214.0,911.0,Unknown
kitchenliving_room_temperature,89.0,306.0,Unknown
study_gas-pulse_gas,112.0,35076.0,Unknown
livingroom_gas-pulse_gas,112.0,340263.0,Unknown
outside_tempprobe_central-heating-return,9.0,706.0,Unknown
outside_tempprobe_central-heating-flow,17.0,750.0,Unknown
outside_tempprobe_hot-water-cold-pipe,5.0,307.0,Unknown
outside_tempprobe_hot-water-hot-pipe,7.0,538.0,Unknown
diningroom_room_light,0.0,23095.0,Unknown
diningroom_room_humidity,232.0,880.0,Unknown
diningroom_room_temperature,67.0,321.0,Unknown
livingroom_tempprobe_central-heating-return,85.0,652.0,Unknown
livingroom_tempprobe_central-heating-flow,83.0,773.0,Unknown
livingroom_tempprobe_hot-water-cold-pipe,73.0,384.0,Unknown
livingroom_tempprobe_hot-water-hot-pipe,78.0,588.0,Unknown
bathroom_tempprobe_radiator-output,30.0,723.0,Unknown
kitchen_tempprobe_radiator-output,49.0,684.0,Unknown
kitchen_tempprobe_radiator-input,50.0,736.0,Unknown
livingroom_heater_light,0.0,7597.0,Unknown
livingroom_heater_humidity,49.0,879.0,Unknown
livingroom_heater_temperature,66.0,600.0,Unknown
bathroom_gas-pulse_gas,112.0,17380.0,Unknown
bathroom_tempprobe_central-heating-flow,55.0,749.0,Unknown
bathroom_tempprobe_central-heating-return,58.0,638.0,Unknown
bathroom_tempprobe_hot-water-cold-pipe,60.0,363.0,Unknown
bathroom_tempprobe_hot-water-hot-pipe,58.0,536.0,Unknown
playroom_room_light,0.0,2152.0,Unknown
playroom_room_humidity,208.0,900.0,Unknown
playroom_room_temperature,90.0,297.0,Unknown
diningroom_tempprobe_radiator-input,53.0,680.0,Unknown
diningroom_tempprobe_radiator-output,59.0,617.0,Unknown
other_room_humidity,239.0,965.0,Unknown
other_room_temperature,15.0,346.0,Unknown
other_room_light,0.0,3986.0,Unknown
other_gas-pulse_gas,112.0,3285736.0,Unknown
other_c_electric-mains_electric-combined,0.0,6191.0,Unknown
playroom_tempprobe_radiator-input,80.0,599.0,Unknown
bedroom_gas-pulse_gas,112.0,31488.0,Unknown
diningroom_tempprobe_central-heating-return,106.0,670.0,Unknown
diningroom_tempprobe_central-heating-flow,102.0,700.0,Unknown
diningroom_tempprobe_hot-water-cold-pipe,70.0,309.0,Unknown
diningroom_tempprobe_hot-water-hot-pipe,80.0,502.0,Unknown
other_tempprobe_central-heating-return,3.0,675.0,Unknown
other_tempprobe_central-heating-flow,5.0,750.0,Unknown
other_tempprobe_hot-water-cold-pipe,1.0,540.0,Unknown
other_tempprobe_hot-water-hot-pipe,1.0,571.0,Unknown
bedroom_tempprobe_central-heating-return,55.0,727.0,Unknown
bedroom_tempprobe_central-heating-flow,53.0,768.0,Unknown
bedroom_tempprobe_hot-water-cold-pipe,55.0,626.0,Unknown
bedroom_tempprobe_hot-water-hot-pipe,50.0,594.0,Unknown
utility_tempprobe_central-heating-return,40.0,644.0,Unknown
utility_tempprobe_central-heating-flow,58.0,778.0,Unknown
utility_tempprobe_hot-water-cold-pipe,36.0,470.0,Unknown
utility_tempprobe_hot-water-hot-pipe,42.0,691.0,Unknown
utility_c_electric-mains_electric-combined,0.0,9220.0,Unknown
utility_gas-pulse_gas,112.0,125427.0,Unknown
utility_room_light,0.0,24032.0,Unknown
utility_room_humidity,197.0,995.0,Unknown
utility_room_temperature,26.0,316.0,Unknown
hall_electric-mains_electric-combined,0.0,7266.0,Unknown
cupboard_gas-pulse_gas,112.0,60660.0,Unknown
cupboard_c_electric-mains_electric-combined,0.0,4123.0,Unknown
conservatory_room_light,0.0,65535.0,Unknown
conservatory_room_humidity,71.0,970.0,Unknown
conservatory_room_temperature,0.0,596.0,Unknown
cupboard_room_light,0.0,271.0,Unknown
cupboard_room_humidity,327.0,781.0,Unknown
cupboard_room_temperature,151.0,244.0,Unknown
other_tempprobe_radiator-input,89.0,427.0,Unknown
other_tempprobe_radiator-output,75.0,375.0,Unknown
other_tempprobe_shower,3.0,434.0,Unknown
diningroom_tempprobe_sink,65.0,626.0,Unknown
outside_c_electric-mains_electric-combined,0.0,6324.0,Unknown
utility_tempprobe_radiator-output,119.0,500.0,Unknown
utility_tempprobe_radiator-input,118.0,503.0,Unknown
study_tempprobe_hot-water-cold-pipe,100.0,367.0,Unknown
study_tempprobe_hot-water-hot-pipe,94.0,476.0,Unknown
study_tempprobe_central-heating-return,89.0,293.0,Unknown
study_tempprobe_central-heating-flow,96.0,576.0,Unknown
bathroom_c_electric-mains_electric-combined,0.0,4146.0,Unknown
bedroom_c_electric-mains_electric-combined,0.0,5327.0,Unknown
kitchenliving_tempprobe_central-heating-return,80.0,708.0,Unknown
kitchenliving_tempprobe_central-heating-flow,75.0,759.0,Unknown
kitchenliving_tempprobe_hot-water-cold-pipe,69.0,320.0,Unknown
kitchenliving_tempprobe_hot-water-hot-pipe,68.0,681.0,Unknown
diningroom_c_electric-mains_electric-combined,0.0,3989.0,Unknown
kitchenliving_tempprobe_radiator-input,105.0,567.0,Unknown
kitchenliving_tempprobe_radiator-output,85.0,533.0,Unknown
kitchenliving_tempprobe_sink,115.0,319.0,Unknown
study_c_electric-mains_electric-combined,56.0,2512.0,Unknown
bathroom_tempprobe_shower,98.0,545.0,Unknown
cupboard_tempprobe_central-heating-return,120.0,591.0,Unknown
cupboard_tempprobe_central-heating-flow,120.0,660.0,Unknown
cupboard_tempprobe_hot-water-cold-pipe,72.0,255.0,Unknown
cupboard_tempprobe_hot-water-hot-pipe,122.0,559.0,Unknown
playroom_tempprobe_radiator-output,113.0,586.0,Unknown
kitchen_electric-mains_electric-combined,9.0,4548.0,Unknown
kitchenliving_heatcook_light,0.0,2741.0,Unknown
kitchenliving_heatcook_humidity,202.0,743.0,Unknown
kitchenliving_heatcook_temperature,118.0,344.0,Unknown
utility_tempprobe_sink,115.0,346.0,Unknown
outside_electric-mains_electric-combined,0.0,2690.0,Unknown
study_heater_light,0.0,3635.0,Unknown
study_heater_humidity,218.0,728.0,Unknown
study_heater_temperature,133.0,287.0,Unknown
